review_text,rating,review_date,reviewer_location
"Fit is relaxed as described, good for casual wear.",4,2026-03-02,Jaipur
Delivery ekdum fast thi but packaging damage tha,3,2026-03-03,Jaipur
"Size medium fits well, sleeve length perfect.",4,2026-03-04,Jaipur
"Size medium fits well, sleeve length perfect.",4,2026-03-05,Jaipur
"Fit is relaxed as described, good for casual wear.",4,2026-03-06,Jaipur
"Size medium fits well, sleeve length perfect.",4,2026-03-07,Ahmedabad
bahut accha product hai lekin battery fast drain hoti hai,4,2026-03-08,Jaipur
Color faded slightly after first wash.,3,2026-03-09,Jaipur
"Size medium fits well, sleeve length perfect.",4,2026-03-10,Chennai
Delivery ekdum fast thi but packaging damage tha,4,2026-03-11,Jaipur
Delivery arrived on time from Mumbai warehouse.,5,2026-03-12,Jaipur
Delivery arrived on time from Mumbai warehouse.,5,2026-03-13,Chennai
Color faded slightly after first wash.,4,2026-03-14,Jaipur
"UrbanFit shirt fabric is soft, colors match photos.",5,2026-03-15,Ahmedabad
"Fit is relaxed as described, good for casual wear.",4,2026-03-16,Chennai
Color faded slightly after first wash.,3,2026-03-17,Ahmedabad
Color faded slightly after first wash.,5,2026-03-18,Ahmedabad
bahut accha product hai lekin battery fast drain hoti hai,5,2026-03-19,Jaipur
Delivery arrived on time from Mumbai warehouse.,4,2026-03-20,Ahmedabad
Taste mast hai but box thoda crush ho gaya tha,4,2026-03-21,Ahmedabad
Color faded slightly after first wash.,3,2026-03-22,Jaipur
Taste mast hai but box thoda crush ho gaya tha,4,2026-03-23,Jaipur
"Fit is relaxed as described, good for casual wear.",3,2026-03-24,Jaipur
"UrbanFit shirt fabric is soft, colors match photos.",3,2026-03-25,Jaipur
"Fit is relaxed as described, good for casual wear.",5,2026-03-26,Ahmedabad
Color faded slightly after first wash.,5,2026-03-01,Jaipur
"UrbanFit shirt fabric is soft, colors match photos.",4,2026-03-02,Jaipur
"Size medium fits well, sleeve length perfect.",3,2026-03-03,Chennai
"Size medium fits well, sleeve length perfect.",4,2026-03-04,Jaipur
"UrbanFit shirt fabric is soft, colors match photos.",3,2026-03-05,Chennai
"Size medium fits well, sleeve length perfect.",3,2026-03-06,Chennai
Delivery arrived on time from Mumbai warehouse.,3,2026-03-07,Chennai
Delivery ekdum fast thi but packaging damage tha,5,2026-03-08,Ahmedabad
"UrbanFit shirt fabric is soft, colors match photos.",4,2026-03-09,Chennai
Color faded slightly after first wash.,5,2026-03-10,Ahmedabad
Delivery arrived on time from Mumbai warehouse.,3,2026-03-11,Jaipur
Taste mast hai but box thoda crush ho gaya tha,5,2026-03-12,Jaipur
"Fit is relaxed as described, good for casual wear.",4,2026-03-13,Ahmedabad
"Fit is relaxed as described, good for casual wear.",3,2026-03-14,Ahmedabad
taste acha hai quantity kam lagti hai,5,2026-03-15,Chennai
"Fit is relaxed as described, good for casual wear.",3,2026-03-16,Jaipur
Delivery arrived on time from Mumbai warehouse.,4,2026-03-17,Chennai
Delivery arrived on time from Mumbai warehouse.,3,2026-03-18,Chennai
"Fit is relaxed as described, good for casual wear.",5,2026-03-19,Jaipur
Delivery arrived on time from Mumbai warehouse.,3,2026-03-20,Ahmedabad
Color faded slightly after first wash.,3,2026-03-21,Jaipur
Delivery arrived on time from Mumbai warehouse.,4,2026-03-22,Chennai
Color faded slightly after first wash.,4,2026-03-23,Chennai
"UrbanFit shirt fabric is soft, colors match photos.",5,2026-03-24,Jaipur
Color faded slightly after first wash.,5,2026-03-25,Jaipur
camera accha hai lekin price thoda zyada hai,4,2026-03-26,Ahmedabad
Color faded slightly after first wash.,5,2026-03-01,Jaipur
"UrbanFit shirt fabric is soft, colors match photos.",4,2026-03-02,Jaipur
delivery jaldi thi lekin packaging damage tha,4,2026-03-03,Jaipur
camera accha hai lekin price thoda zyada hai,5,2026-03-04,Chennai
Taste mast hai but box thoda crush ho gaya tha,4,2026-03-05,Ahmedabad
delivery jaldi thi lekin packaging damage tha,3,2026-03-06,Ahmedabad
Delivery ekdum fast thi but packaging damage tha,4,2026-03-07,Jaipur
Color faded slightly after first wash.,4,2026-03-08,Jaipur
Delivery arrived on time from Mumbai warehouse.,3,2026-03-09,Jaipur
"UrbanFit shirt fabric is soft, colors match photos.",4,2026-03-10,Ahmedabad
Delivery arrived on time from Mumbai warehouse.,5,2026-03-11,Chennai
great product highly recommend five stars,3,2026-03-12,Ahmedabad
Delivery ekdum fast thi but packaging damage tha,4,2026-03-13,Ahmedabad
Taste mast hai but box thoda crush ho gaya tha,5,2026-03-14,Ahmedabad
"Fit is relaxed as described, good for casual wear.",3,2026-03-15,Chennai
Color faded slightly after first wash.,3,2026-03-16,Chennai
bahut accha product hai lekin battery fast drain hoti hai,5,2026-03-17,Ahmedabad
Battery backup thoda weak hai otherwise phone solid hai,5,2026-03-18,Chennai
Color faded slightly after first wash.,3,2026-03-19,Chennai
camera accha hai lekin price thoda zyada hai,4,2026-03-20,Ahmedabad
"Size medium fits well, sleeve length perfect.",5,2026-03-21,Ahmedabad
camera accha hai lekin price thoda zyada hai,4,2026-03-22,Ahmedabad
"UrbanFit shirt fabric is soft, colors match photos.",3,2026-03-23,Chennai
bahut accha product hai lekin battery fast drain hoti hai,4,2026-03-24,Ahmedabad
Color faded slightly after first wash.,5,2026-03-25,Jaipur
Color faded slightly after first wash.,5,2026-03-26,Chennai
Delivery ekdum fast thi but packaging damage tha,4,2026-03-01,Ahmedabad
great product highly recommend five stars,4,2026-03-02,Chennai
"UrbanFit shirt fabric is soft, colors match photos.",4,2026-03-03,Ahmedabad
