review_text,rating,review_date,reviewer_location
TechX Pro 5G camera is sharp and low light photos look great.,3,2026-01-02,Bangalore
"Battery is average, needs charge by evening.",3,2026-01-03,Pune
bahut accha product hai lekin battery fast drain hoti hai,3,2026-01-04,Mysuru
"Battery lasts full day with light use, no heating issues.",5,2026-01-05,Bangalore
Performance is fast for daily apps and no lag noticed.,3,2026-01-06,Delhi
taste acha hai quantity kam lagti hai,4,2026-01-07,Delhi
"Display is bright and colors pop, gaming feels smooth.",3,2026-01-08,Bangalore
"Battery is average, needs charge by evening.",3,2026-01-09,Bangalore
TechX Pro 5G camera is sharp and low light photos look great.,5,2026-01-10,Mysuru
"Battery is average, needs charge by evening.",3,2026-01-11,Delhi
TechX Pro 5G camera is sharp and low light photos look great.,3,2026-01-12,Delhi
"Build feels premium in hand, metal frame is solid.",4,2026-01-13,Delhi
"Charging speed is okay, reaches fifty percent in thirty minutes.",4,2026-01-14,Mysuru
"Battery lasts full day with light use, no heating issues.",4,2026-01-15,Delhi
"Battery lasts full day with light use, no heating issues.",3,2026-01-16,Bangalore
Delivery ekdum fast thi but packaging damage tha,4,2026-01-17,Mumbai
Delivery ekdum fast thi but packaging damage tha,3,2026-01-18,Pune
great product highly recommend five stars,4,2026-01-19,Mysuru
"📦 packaging was 💔 disappointing, seal broken",3,2026-01-20,Bangalore
"Battery is average, needs charge by evening.",3,2026-01-21,Mumbai
"Build feels premium in hand, metal frame is solid.",4,2026-01-22,Pune
delivery jaldi thi lekin packaging damage tha,4,2026-01-23,Delhi
"Build feels premium in hand, metal frame is solid.",5,2026-01-24,Bangalore
"Build feels premium in hand, metal frame is solid.",5,2026-01-25,Mumbai
"Display is bright and colors pop, gaming feels smooth.",4,2026-01-26,Bangalore
"Oh great, battery died in two hours thumbs up",5,2026-01-27,Bangalore
"Display is bright and colors pop, gaming feels smooth.",5,2026-01-28,Pune
"📦 packaging was 💔 disappointing, seal broken",4,2026-01-01,Delhi
"Display is bright and colors pop, gaming feels smooth.",3,2026-01-02,Delhi
"Battery lasts full day with light use, no heating issues.",3,2026-01-03,Bangalore
"Build feels premium in hand, metal frame is solid.",4,2026-01-04,Mysuru
"Battery lasts full day with light use, no heating issues.",3,2026-01-05,Bangalore
"📦 packaging was 💔 disappointing, seal broken",4,2026-01-06,Bangalore
"Display is bright and colors pop, gaming feels smooth.",4,2026-01-07,Pune
TechX Pro 5G camera is sharp and low light photos look great.,3,2026-01-08,Pune
Delivery ekdum fast thi but packaging damage tha,4,2026-01-09,Pune
taste acha hai quantity kam lagti hai,5,2026-01-10,Mysuru
"Battery lasts full day with light use, no heating issues.",5,2026-01-11,Pune
Taste mast hai but box thoda crush ho gaya tha,5,2026-01-12,Bangalore
Performance is fast for daily apps and no lag noticed.,5,2026-01-13,Mysuru
Delivery ekdum fast thi but packaging damage tha,3,2026-01-14,Mysuru
"Battery is average, needs charge by evening.",4,2026-01-15,Mumbai
TechX Pro 5G camera is sharp and low light photos look great.,5,2026-01-16,Pune
"Charging speed is okay, reaches fifty percent in thirty minutes.",3,2026-01-17,Delhi
"Battery is average, needs charge by evening.",3,2026-01-18,Pune
pkng was terible box opend already,3,2026-01-19,Mysuru
Love how the packaging was basically confetti amazing job,4,2026-01-20,Pune
Taste mast hai but box thoda crush ho gaya tha,3,2026-01-21,Pune
"Build feels premium in hand, metal frame is solid.",5,2026-01-22,Mysuru
"Build feels premium in hand, metal frame is solid.",3,2026-01-23,Pune
baterry is vry bad drains super quick,4,2026-01-24,Mumbai
"Charging speed is okay, reaches fifty percent in thirty minutes.",3,2026-01-25,Mumbai
Performance is fast for daily apps and no lag noticed.,3,2026-01-26,Pune
pkng was terible box opend already,5,2026-01-27,Mysuru
Performance is fast for daily apps and no lag noticed.,5,2026-01-28,Delhi
TechX Pro 5G camera is sharp and low light photos look great.,5,2026-01-01,Pune
delivery jaldi thi lekin packaging damage tha,4,2026-01-02,Delhi
"Display is bright and colors pop, gaming feels smooth.",4,2026-01-03,Delhi
baterry is vry bad drains super quick,3,2026-01-04,Pune
"Display is bright and colors pop, gaming feels smooth.",5,2026-01-05,Mysuru
"Display is bright and colors pop, gaming feels smooth.",3,2026-01-06,Mumbai
Taste mast hai but box thoda crush ho gaya tha,3,2026-01-07,Bangalore
taste acha hai quantity kam lagti hai,5,2026-01-08,Mysuru
"Battery is average, needs charge by evening.",5,2026-01-09,Mysuru
"Build feels premium in hand, metal frame is solid.",5,2026-01-10,Mumbai
"Display is bright and colors pop, gaming feels smooth.",4,2026-01-11,Bangalore
"Display is bright and colors pop, gaming feels smooth.",5,2026-01-12,Mumbai
Performance is fast for daily apps and no lag noticed.,5,2026-01-13,Mumbai
good,5,2026-01-14,Pune
Performance is fast for daily apps and no lag noticed.,5,2026-01-15,Bangalore
baterry is vry bad drains super quick,5,2026-01-16,Bangalore
great product highly recommend five stars,4,2026-01-17,Delhi
pkng was terible box opend already,3,2026-01-18,Pune
Performance okay but battery backup is poor now.,4,2026-01-19,Pune
Camera still good but battery drains way faster than before.,4,2026-01-20,Mysuru
Taste mast hai but box thoda crush ho gaya tha,5,2026-01-21,Bangalore
